"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VJVRLC2Y","book","1735","George II, King of Great Britain and Ireland","By the King, a proclamation, for putting in execution the laws made to prevent tumults and riotous assemblies, and for the more effectual punishing wicked and evil-disposed persons going armed in disguise; and for punishing such persons as shall wilfully and maliciously pull down or destroy turnpikes for repairing highways erected by authority of parliament; and for apprehending and bringing to justice the persons, who in September last were concerned in pulling down and destroying the turnpikes so erected at Ledbury, in the county of Hereford, and in attacking the house of John Skipp esquire, one of the justices of the peace for the said county; and those who have been since guilty of other notorious outrages and disturbances in the said county of Hereford","","","","","","","1735","2019-07-23 10:01:39","2020-06-03 15:33:34","","","1 sheet ([1] p.).","","","","","By the King","","","","","John Baskett","London","English","","","Copac","","Copac","","","","","","Crime and criminals -- Great Britain -- Early works to 1800.; Great Britain -- History -- George II, 1727-1760 -- Early works to 1800.; Hereford (England) -- History -- Early works to 1800.; Riots -- Great Britain -- Early works to 1800.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTCQQK6E","book","1778","Gerard, Alexander","Liberty the cloke of maliciousness: both in the American rebellion, and in the manners of the times. A sermon Preached at Old Aberdeen, February 26. 1778, Being the Fast-Day appointed by Proclamation, on account of the Rebellion in America","","","","","","By Alexander Gerard, D. D. Professor of Divinity in King's College.","1778","2019-07-23 10:01:39","2020-06-03 15:33:34","","","24p.","","","","","Liberty the cloke of maliciousness","","","","","J. Chalmers & Co./Alexander Thomson/T. Cadell/W. Creech","Aberdeen/London/Edinburgh","English","","","Copac","","Copac","","","","","","colonial countries; preaching; Sermon; United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UXQUHFKT","manuscript","1704","Ponchartrain; TNA","SP 78/153/115: Pontchartrain to Hedges","","","","","","Sends a declaration [by Chasteaufort] and indicates its contents; hopes for remedy; contrasts condition of French prisoners in England with those of English prisoners in France. Date and place: 1704 Oct 20, Fontainebleau","1704-10-20","2019-07-23 10:01:39","2020-06-03 15:33:34","","","Folio 263","","","","","SP 78/153/115","","","","","","London","fr","","","The National Archives of the UK, Kew","State Papers Foreign, France","National Archive of the UK","SP 78/153/115","","","","http://discovery.nationalarchives.gov.uk/SearchUI/Details?uri=C7328637","","","","","","Ponchartrain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P3AAA4QU","manuscript","1710","Pontchartrain; TNA","SP 78/155/1: Pontchartrain to Sunderland","","","","","","Complains of very harsh treatment of prisoners, especially those at Plymouth and Kinsale. Suggests that men imprisoned there more than one year should return to France in exchange for same number of English prisoners. Contrasts the harsh treatment in British prisons with the humane treatment of British prisoners of war in France.  Date and place: 1710 June 4, Marly.","1710-06-04","2019-07-23 10:01:39","2020-06-03 15:33:34","","","folio 3","","","","","SP 78/155/1","","","","","","Marly","fr","","","The National Archives of the UK, Kew","State Papers Foreign, France","National Archive of the UK","SP 78/155/1","","","","http://discovery.nationalarchives.gov.uk/SearchUI/Details?uri=C7328819","","","","","","Pontchartrain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R5P3JRMA","manuscript","1720","Craggs; TNA","SP 78/168/57: Craggs to Sutton","","","","","","Instructs him to intercede for French Protestants in France, who he asserts represent no threat to the French state in contrast to the Catholics in Britain, most of whom are Jacobites. Date and place: 1720 July 4/15, Whitehall.","1720-07-04","2019-07-23 10:01:39","2020-06-03 15:33:34","","","Folio 134","","","","","SP 78/168/57","","","","","","Whitehall","","","","The National Archives of the UK, Kew","State Papers Foreign, France","National Archive of the UK","SP 78/168/57","","","","http://discovery.nationalarchives.gov.uk/SearchUI/Details?uri=C7331173","","","","","","Craggs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNXAH5A2","manuscript","1730","Rondeau; TNA","SP 91/11: Rondeau to Newcastle","","","","","","Further to f.132 Count Wratislaw now has three more pictures of the Emperor, set with diamonds, for the present German and Courland favourites. They were originally intended for the Princes Dolgorukov, who are disgraced a second time and sent to Siberia. Czarina feared that gentlemen who visited them in their first exile might raise rebellion against her. Persian ambassador, now recalled, achieved nothing because it is said he would not treat on former instructions when he heard Prince Tamas was in posession of Ispahan, and may contract with Ottoman government to drive Russians out of province of Ghilan, desirable to both the Grand Seigneur and the Sophy, whose subjects had a great silk trade with that province, before Russian conquest which ruined it. In this event Russia might wage war on the Turks keeping them fully employed at home and unable to assist the Emperor. Duke of Liria annoyed that recall of Prince Scerbatov, the Russian minister in Spain, so secret. Obvious that Russia has taken this step only on the persuasion of Vienna. Duke says his king should recall him too. Count Wratislaw and Russians hindered by duke from assisting Emperor in case a war should break out. Plea for immediate character similar to that of Ward. Congratulations to Czarina would be kindly received by this court and a mortification to that of Vienna.","1730-06-29","2019-07-23 10:01:39","2020-06-03 15:33:34","","","folio 132","","","","","UK SP 91/11","","","","","","Moscow","","","","The National Archives of the UK, Kew","State Papers Foreign: Russia","National Archive of the UK","UK SP 91/11","","","","http://discovery.nationalarchives.gov.uk/SearchUI/Details?uri=C6720653","","","","","","Rondeau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LXHBQUFA","manuscript","1732","Bowen, Emanuel; TNA","SP 36/27/22: Eman[uel] Bowen, from London, to Delafaye","","","","","","Encloses a copy of a print of the late Bishop of Rochester which he has bought. He was prohibited from selling these himself and prays that if their sale is now permitted, the plate and prints may be returned to him","1732-06-16","2019-07-23 10:01:39","2020-06-03 15:33:34","","","folio 44","","","","","SP 36/27/22","","","","","","London","English","","","The National Archives of the UK, Kew","State Papers Domestic, George II","National Archive of the UK","SP 36/27/22","","","","http://discovery.nationalarchives.gov.uk/SearchUI/Details?uri=C8672259","","","","","","Bowen, Emanuel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZRTB6DBN","book","1689","James II and VII, King of England, Scotland and Ireland","By the King: a proclamation. James R.: Whereas Richard now Duke of Tyrconnell our late Deputy of this kingdome, upon breaking out of the present rebellion in several parts of this realm","","","","","","","1689","2019-07-23 10:01:39","2020-06-03 15:33:34","","","1 sheet ([2] p.).","","","","","By the King","","","","","Andrew Crook and Samuel Helsham, assigns of Benjamin Tooke","Dublin","English","","","Copac","","Copac","","","","","","Ireland -- History -- War of 1689-1691 -- Early works to 1800.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XR3ZYSM2","book","1618","Elizabeth I, Queen of England","By the Queene, a proclamation of the Queenes Maiesties pardon graunted to certaine of her subiectes vppon the west borders, hauyng offended by Leonard Dacres abusyng of them, in a rebellion lately stirred by him","","","","","","","1618","2019-07-23 10:01:39","2020-06-03 15:33:34","","","[2] p.","","","","","By the Queen","","","","","Richard Jugge and John Cawood","[London]","English","","","Copac","","Copac","","","","","","Dacre, Leonard, d. 1573.; Great Britain -- History -- Elizabeth, 1558-1603.; Proclamations -- Great Britain.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JPYK8UGP","manuscript","1728","Anon.; TNA","SP 36/5/177: Examination of Phillis Leveridge, living at Richard Wagget's in Aldersgate Street","","","","","","She says she had the two books entitled 'A new miscellany of Court Songs', part 1 and part 2 and the single half sheet, entitled 'Two New Ballads' from a woman named Anne Bowes and that she usually sits at the Temple Gate to sell such books and often goes to the coffee-houses about Temple Bar to sell them. Papers annexed. Two New Ballads. Printed. Two copies. [Delafaye's] notes on James Watson and the Court Songs above mentioned. The first part was only the dispute between Sir Robert Walpole and Mr.Pulteny.      The second part he was infatuated to go so far as the ballad about the King's speech. [See Two New Ballads}. He had that about the King's speech from Bingley - Bishop of Rochester's plot.      Lord's address - had from Ozindo. Bingley lives in Mist's house and corrects for Mist - sometimes Watson does it - Bingley has no capacity for writing .... Printed 500 of the Occasional Writer for Gun Jones. It was printed before - supposed at the Duke of Bedford's house, where there was a printing press a long time. There part of the 'State of the debts of the Nation' was printed, and the Emperor's Memorial - printed Shippen's speech for Mist.      History of the 'Full of Count Olivarez' was done by one Kelly in the Fleet - a West Indian who understands Spanish, Italian and French - he gets his living by translating. 'Now or 'Never' written by Roderick Mackenzie - mentioned in Layer's report. The Hotchpotch, written by Kelly.","1728-03-10","2019-07-23 10:01:39","2020-06-03 15:33:34","","","Folios 177-182","","","","","SP 36/5","","","","","","London","","","court protocol","The National Archives of the UK, Kew","State Papers Domestic, George II","National Archive of the UK","SP 36/5","","","","http://discovery.nationalarchives.gov.uk/SearchUI/Details?uri=C8106223","","","","","","Anon.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
