MAGAZINE TITLE;PLACE OF PUBLICATION;PUBLISHER;DENOMINATION;DATES;START;INFO;SOURCE
The London and Country Journal:  With the History of the Old and New Testament;London, UK;#;Anglican;6 June 1739 - 4 February 1742;1739; 142 numbers;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Evangelical Magazine;London, UK;#;Anglican; 1793-1812;1793; 20 vols;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Methodist Magazine;London, UK;Edited by George Story (d. 1818) and Joseph Benson;Methodist;1798-1821;1798; 24 vols;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"The Loyal Protestant and True Domestick Intelligence ; or, News both from City and Country,  Published to Prevent the Many Falsey Scandalous and Seditious Reports";London, UK;Printed by Nathaniel Thompson [printer for the Noncomformists and Roman Catholics] Next the Cross Keys in Fetter Lane;Anglican;9 March 1681-20 March 1683;1681; 247 numbers;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
Mercurius Theologicus \ or, the Monthly Instructor:  Briefly Explaining and Applying All the Doctrines and Duties of Christian Religion That Are Necessary To Be Believ'd and Practisyd in Order to Salvation;London, UK;Printed by R. C.;Anglican;1700-1701;1700;"""By a Divine of the Church of England""";"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
The General Baptist Magazine;London, UK;Edited by D. Taylor;Anglican; 1798-1800;1798;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"The Weekly History; or: an Account of the Most Remarkable Passages Relating to the Present Progress of the Gospel";London, UK;John Lewis;Anglican; 11 April 1741-13 November 1742;1741;Eighty-four numbers, a small folio of four pages, the first Methodist newspaper, founded by those who seceded from John Wesley's societies: John Cennick, Howell Harris, Joseph Humphreys.;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Scourge: In Vindication of the Church of England;London, UK;#;Anglican;4 February 1717-5 November 1717;1717; Forty-three numbers;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
Zion's Triumph;Bristol, UK;#;Anglican;1798-1801;1798; Four vols.;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"Memoirs for the Curious; or, an Account of What Occurs That's Rare, Secrety Extraordinaryy Prodigious and Miraculous through the Worldy Whether in Naturey Arty Learningy Policyy or Religion";London, UK; Printed by Richard Janeway [the younger] for Ann Baldwin;Anglican;1701;1701; Illustrated, two numbers;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
