Title word,Count,Field,Type,Connotation
kill,3,context,(power) relation / agency,context
owed / owing,20,context,(power) relation / agency,context
pennies,1,economy,item,context
free,12,context,(power) relation / agency,positive
freyheit(en)/freyheiten,5,context,(power) relation / agency,positive
fright,1,context,(power) relation / agency,negative
fürchten,1,context,(power) relation / agency,negative
fury,1,context,(power) relation / agency,negative
gain(e)d,1,context,(power) relation / agency,context
gefasten,1,context,(power) relation / agency,context
lose,5,context,(power) relation / agency,negative
loss(es),7,context,(power) relation / agency,negative
murther,1,context,(power) relation / agency,negative
mutinous,1,context,(power) relation / agency,negative
mutiny,1,context,(power) relation / agency,negative
mutual,1,context,(power) relation / agency,neutral
nonimportation,1,context,(power) relation / agency,context
nutzen,1,context,(power) relation / agency,positive
obedience,2,context,(power) relation / agency,context
obey,3,context,(power) relation / agency,positive
obeying,1,context,(power) relation / agency,positive
obligé,1,context,(power) relation / agency,context
obliging,1,context,(power) relation / agency,context
observance,1,context,(power) relation / agency,context
opposition,1,context,(power) relation / agency,context
oppressed,1,context,(power) relation / agency,context
oppression,1,context,(power) relation / agency,n
outrages,3,context,(power) relation / agency,n
ouvrages,1,context,(power) relation / agency,context
overthrow(es),5,context,(power) relation / agency,n
pay,9,context,(power) relation / agency,context
payment(s),5,context,(power) relation / agency,context
perjury,1,context,(power) relation / agency,n
intervene,1,context,(power) relation / agency,context
invasion,5,context,(power) relation / agency,n
might,3,context,(power) relation / agency,context
mightinesses,1,context,(power) relation / agency,context
penalties,2,context,(power) relation / agency,context
handl(e/ing),2,context,(power) relation / agency,context
,,,,
fame,1,context,(power) relation / agency,positive
famine,1,context,(power) relation / agency,n
fate,1,context,(power) relation / agency,context
favour,1,context,(power) relation / agency,context
fellow,3,context,(power) relation / agency,context
fight(ing),5,context,(power) relation / agency,context
,,,,
fortuna,4,context,(power) relation / agency,context
fortune,3,context,(power) relation / agency,context
neglect,1,context,(power) relation / agency,n
excepted,1,context,(power) relation / agency,context
executed,3,context,(power) relation / agency,context
execution,5,context,(power) relation / agency,context
gesetze,3,context,(power) relation / agency,context
get,25,context,(power) relation / agency,context
insurrection(s),11,context,(power) relation / agency,n
serve,5,context,(power) relation / agency,context
served,2,context,(power) relation / agency,context
threatened,1,context,(power) relation / agency,n
thronfolge,1,context,(power) relation / agency,context
together,19,context,(power) relation / agency,context
toleration,1,context,(power) relation / agency,context
tortured,1,context,(power) relation / agency,context
treason,32,context,(power) relation / agency,n
treat,11,context,(power) relation / agency,context
treatment,1,context,(power) relation / agency,context
tried,1,context,(power) relation / agency,context
tries,2,context,(power) relation / agency,context
tumult(s/ibus),23,context,(power) relation / agency,n
,,,,
,,,,
undermine,1,context,(power) relation / agency,n
union,33,context,(power) relation / agency,context
unionact,1,context,(power) relation / agency,context
unite,11,context,(power) relation / agency,context
contrary,1,context,(power) relation / agency,context
contrasting,1,context,(power) relation / agency,context
contrasts,1,context,(power) relation / agency,context
controuersie,1,context,(power) relation / agency,n
crime(s),3,context,(power) relation / agency,n
enterprise,1,context,(power) relation / agency,context
espousing,1,context,(power) relation / agency,context
covenant,3,religion,(power) relation / agency,context
equivalent(s),7,context,(power) relation / agency,context
escape(d),6,context,(power) relation / agency,context
verantwortung,1,context,(power) relation / agency,context
vermehlt,1,context,(power) relation / agency,context
vicinity,1,context,(power) relation / agency,context
victory,3,context,(power) relation / agency,context
visit,3,context,(power) relation / agency,context
visitation,2,context,(power) relation / agency,context
viz,5,context,(power) relation / agency,context
vollmachten,1,context,(power) relation / agency,context
vproares,1,context,(power) relation / agency,n
wahl,1,context,(power) relation / agency,context
weighing,1,context,(power) relation / agency,context
welfare,1,context,(power) relation / agency,context
angeführet,1,context,(power) relation / agency,context
anzuwerben,1,context,(power) relation / agency,context
appartenant,1,context,(power) relation / agency,context
appoint,12,context,(power) relation / agency,context
appointed,10,context,(power) relation / agency,context
appointing,1,context,(power) relation / agency,context
apprehending,69,context,(power) relation / agency,context
apprehension,1,context,(power) relation / agency,context
approach,1,context,(power) relation / agency,context
approve,1,context,(power) relation / agency,context
assemble,12,context,(power) relation / agency,context
assembled,10,context,(power) relation / agency,context
assigned,1,context,(power) relation / agency,context
assist,12,context,(power) relation / agency,context
assistance,6,context,(power) relation / agency,context
assisted,1,context,(power) relation / agency,context
associated,2,context,(power) relation / agency,context
association,2,context,(power) relation / agency,context
atrocities,2,context,(power) relation / agency,n
attach,1,context,(power) relation / agency,context
attack(ing),3,context,(power) relation / agency,context
,,,,
attainder,1,context,(power) relation / agency,context
attainted,1,context,(power) relation / agency,context
attempt(s),5,context,(power) relation / agency,context
,,,,
attend(s/ed/ing),10,context,(power) relation / agency,context
,,,,
,,,,
,,,,
attention,1,context,(power) relation / agency,context
attributed,1,context,(power) relation / agency,context
behalf,1,context,(power) relation / agency,context
bearing,2,context,(power) relation / agency,context
behind,1,context,(power) relation / agency,context
bestowd,1,context,(power) relation / agency,context
betwixt,1,context,(power) relation / agency,context
break(ing),7,context,(power) relation / agency,context
bribery,2,context,(power) relation / agency,n
conformity,1,context,(power) relation / agency,context
consequence(s),7,context,(power) relation / agency,context
cutting,3,context,(power) relation / agency,context
dämpfung,1,context,(power) relation / agency,context
dealing,3,context,(power) relation / agency,context
debt(s),21,context,(power) relation / agency,context
deface,1,context,(power) relation / agency,n
defence,6,context,(power) relation / agency,context
deliver,8,context,(power) relation / agency,context
deliverance,3,context,(power) relation / agency,context
delivered,2,context,(power) relation / agency,context
delivery,2,context,(power) relation / agency,context
depending,1,context,(power) relation / agency,context
desertion,1,context,(power) relation / agency,n
deserve,1,context,(power) relation / agency,context
destroy(ing),7,context,(power) relation / agency,context
destruction,1,context,(power) relation / agency,context
detrimenti,1,context,(power) relation / agency,n
dewitting,1,context,(power) relation / agency,n
dignity,1,context,(power) relation / agency,context
disable,2,context,(power) relation / agency,context
disabled,1,context,(power) relation / agency,context
disarming,1,context,(power) relation / agency,context
discarding,1,context,(power) relation / agency,context
discharg(ed)d,1,context,(power) relation / agency,context
discharge,1,context,(power) relation / agency,context
disobedience,1,context,(power) relation / agency,n
disposal,1,context,(power) relation / agency,context
dissociating,1,context,(power) relation / agency,context
dissolve,1,context,(power) relation / agency,context
dissolving,1,context,(power) relation / agency,context
dividing,1,context,(power) relation / agency,context
division,1,context,(power) relation / agency,context
domestic(k),3,context,(power) relation / agency,context
dread,1,context,(power) relation / agency,n
duel,2,context,(power) relation / agency,context
duty,5,context,(power) relation / agency,context
election(s),4,context,(power) relation / agency,context
emergency,1,context,(power) relation / agency,context
eminence,1,context,(power) relation / agency,context
enable,1,context,(power) relation / agency,context
enabling,1,context,(power) relation / agency,context
enforc(e)d,1,context,(power) relation / agency,context
commerce,3,context,(power) relation / agency,context
commission,18,context,(power) relation / agency,context
commissions,2,context,(power) relation / agency,context
consists,1,context,(power) relation / agency,context
conspired,1,context,(power) relation / agency,n
bring,9,development / movement,(power) relation / agency,context
bringing,6,development / movement,(power) relation / agency,context
bankruptcies,1,economy,(power) relation / agency,n
arrest,2,law,(power) relation / agency,context
bataille,1,law,(power) relation / agency,context
beschirmung,2,law,(power) relation / agency,context
assault,1,military,(power) relation / agency,context
bedrängte,1,military,(power) relation / agency,n
breach,1,military,(power) relation / agency,context
feldzuge,2,military,(power) relation / agency,context
aufruhr,1,politics,(power) relation / agency,n
aufstandes,1,politics,(power) relation / agency,n
behalf,5,relation,(power) relation / agency,context
belonging,2,relation,(power) relation / agency,context
beloved,1,relation / posession,(power) relation / agency,context
divinity,1,religion,(power) relation / agency,context
environs,1,context,(power) relation / agency,context
eq,22,context,(power) relation / agency,context
erhebung,1,context,(power) relation / agency,context
ermorden,1,context,(power) relation / agency,n
