From,to,Name,Agents,Results ,Type,Label,Place (modern),Historic affiliation,Archival sources,WIKIDATA ENTITY ID,WIKIDATA COUNTRY ID,COUNTRY NAME,WIKIDATA LOCATION ID,WIKIDATA LOCATION NAME
1503,712 December 1790,Battle of Calicut,British victory,British victory,context unclear,Kozhikode,Kozhikode,British Empire,#,Q4870615,#,#,Q28729,Kozhikode
1509,1509,Various Riots,"The series extends down to 1844 / though the last volume (for 1840-1844) is beyond the scope of this catalogue. Though described on their covers as 'Sessions Books' / these volumes are in the nature of minute books / recording the proceedings of the court. Their nature is borne out by the later series of Sessions Minute Books beginning in 1778 and continuous from 1841: with the exception of the first two Minute Books (for 1778-1809 and March 1841-January 1845) / which appear to be drafts from which the Sessions Books were written up / the Minute Books from January 1845 are virtually indistinguishable from the later Sessions Books / which they supersede and continue as the main record of the court down to 1956. Most of the courts in the earliest Sessions Book (for 1509-1515) are described as 'Sessions of the Peace' only. Most subsequent Sessions are of the Peace and Gaol Delivery. Sessions of the Peace alone still appear in books 2-6 (C/2/9/1/1/8/2-6) for 1549-1616 / where the entries are similar to those of the composite Sessions except that the gaol calendars are usually omitted. Sessions of the Peace between January 1642 and October 1654 (C/2/9/1/1/8/7-8) deal mainly (in very brief entries) with cases of riot. 'Special Sessions' / October 1763-April 1775 (C/2/9/1/1/8/10) are for rating appeals only, and Sessions of the Peace / January 1819-September 1822 (C/2/9/1/1/8/12) are for orders for the relief of imprisoned debtors / diversion of highways and other administrative matters. Most of the entries in the first volume consist merely of lists of officers and grand jurors / and memoranda of recognizances for appearance or to keep the peace (the last rarely dated) made in or out of Sessions. In subsequent volumes the usual contents are: recognizances, grand jury lists, trial jury lists (1564-1815), calendars of prisoners with notes of process, and court orders (including those for discharging apprentices / 1564-1585, for bridge rates / 1692-1741, for the Marshalsea Treasurer's rates / 1741-1836, and for highway diversions from 1818). Lists of the overseers and collectors of the twelve parishes appear annually / 1577-1589 / and appointments of the Treasurers for the Sick and Wounded / with orders to them / 1593-1783. Lists of coroners / serjeants and bailiffs (or constables) of hamlets appear between 1549 and 1601 / and occasionally 1601-1616. Badgers' licences appear occasionally / 1564-1720, and alehouse licences occasionally / 1587-1616. The language of the record is mostly Latin down to 1652 / when English supersedes it until 1660. From the Restoration many entries are again in Latin until its abolition for legal purposes in 1731. From 1576 to 1651 the record of the Sessions Books is augmented by entries in the series of composite enrolments of the borough courts (C/2/10/1) which / for those criminal cases considered worthy of permanent enrolment / recite the process in full following each indictment.",#,context unclear,England,England,British Empire,Suffolk Record Office / Ipswich Branch C/2/9/1/1/8,#,#,#,#,#
1513,1513,Battle of Glendale,The Battle of Glendale was a battle fought on the Inner Hebridean Isle of Skye / between the MacDonalds of Sleat and the MacDonalds of Clanranald / against the MacLeods of Harris and Dunvegan and the MacLeods of Lewis.,Inconclusive,involving clans,Glendale / Isle of Skye,Glendale / Isle of Skye,British Empire,#,#,#,#,#,#
1517,1517,Evil May Day,"local inhabitants rioting against foreigners (called ""strangers"") living in London",#,religion / cultural identity,London / England,London / England,British Empire,#,#,#,#,#,#
1522,1522,Battle of Knockavoe,between the O'Donnells / led by Hugh Dubh O'Donnell and Manus O'Donnell / both sons of Sir Hugh Dubh O'Donnell / against the O'Neills,O'Neills and their supporters were surprised and routed,involving clans,Knockavoe,Knockavoe,British Empire,#,Q4871463,#,#,#,#
1526,1526,Battle of Melrose,Douglas / Earl of Angus,Victory for Douglas / Earl of Angus,involving clans,Melrose / Scotland,Melrose / Scotland,British Empire,#,Q17984395,#,#,Q632993,Melrose / Scotland
1529,1529,Battle of Summerdale,Orkney Sinclairs,Victory for Orkney Sinclairs,involving clans,boundary of the parishes of Orphir and Stenness in Mainland / Orkney / Scotland,Orkney / Scotland,British Empire,#,Q16822717,#,#,#,#
1536,1536,Pilgrimage of Grace,local Catholics led by Robert Aske / against the Reformation of Henry VIII,#,religion / cultural identity,York / Yorkshire / England,York / Yorkshire / England,British Empire,#,Q1233121,Q145,United Kingdom,Q42462,York / Yorkshire / England
1549,1549,Prayer Book Rebellion,popular revolt in Cornwall and Devon sparked by the introduction of the Book of Common Prayer,Victory for Edwardian forces / rebellion suppressed / execution of rebel commanders,religion / cultural identity,Cornwall and  Devon,Cornwall,British Empire,#,Q499763,Q179876,Kingdom of England,#,#
1549,1549,Prayer Book Rebellion,popular revolt in Cornwall and Devon sparked by the introduction of the Book of Common Prayer,Victory for Edwardian forces / rebellion suppressed / execution of rebel commanders,religion / cultural identity,Cornwall and  Devon,Devon,British Empire,#,Q499763,Q179876,Kingdom of England,#,#
1549,1549,Kett's Rebellion,revolt during the reign of Edward VI / largely in response to the enclosure of land,Victory for Edwardian forces / rebellion suppressed / execution of rebel commanders,social / economic,Norfolk / England,Norfolk / England,British Empire,#,Q27566029,Q179876,Kingdom of England,Q23109,Norfolk / England
1554,1554,Wyatt Plot,popular rising opposing Queen Mary's intention to marry Philip of Spain,#,government,Britain,Great Britain,British Empire,#,Q1760515,Q145,United Kingdom,#,#
1555,1555,Battle of Garbharry,Clan Sutherland,Sutherland victory,involving clans,Foot of the mountain Beinn-mhor / in Berriedale / Scotland,Foot of the mountain Beinn-mhor / in Berriedale / Scotland,British Empire,#,Q4871078,#,#,#,#
1565,1565,Chaseabout Raid,rebellion by James Stewart / 1st Earl of Moray / against his half sister / Mary / Queen of Scots,Victory for Mary,government,Scottish Lowlands,Scottish Lowlands,British Empire,#,Q5087234,#,#,Q654252,Scottish Lowlands
1568,1573,Marian civil war,supporters of King James VI,Victory for supporters of King James VI,government,Kingdom of scotland,Kingdom of scotland,British Empire,#,Q6762017,#,#,Q230791,Kingdom of scotland
1569,1573,First Desmond Rebellion,rebellions by the Earl of Desmond / the head of the Fitzmaurice/FitzGerald Dynasty in Munster / and his followers / the Geraldines and their allies / against the threat of the extension of their South Welsh Tewdwr cousins and of Elizabethan English government,#,government,Iwamura Castle,Munster / Ireland,British Empire,#,#,#,#,#,#
1569,1570,Rising of the North,Catholic nobles trying to depose Queen Elizabeth I of England and replace her with Mary / Queen of Scots,"Elizabethan victory /
Elizabeth's authority strengthened
Aristocracy of North weakened",government,Northern England,Northern England,British Empire,#,Q427513,#,#,Q1788657,Northern England
1570,1570,Battle of Bun Garbhain,Clan Cameron,Cameron victory,involving clans,Bun Garbhain by Loch Eil,Loch Eil / Scotland / Britain,British Empire,#,Q4870592,#,#,#,#
1570,1570,Battle of Torran-Roy,Earl of Caithnesss / Sutherland of Duffus versus the Murrays of Aberscross,Earl of Caithnesss forces initially defeated / Murrays can later win a victory,involving clans,Torran-Roy / Sutherland / Scotland,Torran-Roy / Sutherland / Scotland,British Empire,#,Q39088143,#,#,#,#
1573,#,Desmond-Rebellions,uprisings against English rule in Ireland,#,government,Ireland,Ireland,British Empire,#,Q1200808,#,#,#,#
1574,1574,Betrayal of Clannabuidhe / Clandeboye massacre,massacre of the O'Neills of Lower Clandeboye by the English forces of The 1st Earl of Essex,#,colonial expansion / consolidation,Belfast / Ireland,Belfast / Northern Ireland,British Empire,#,Q16207495,#,#,Q10686,Belfast / Ireland
1579,1583,Second Desmond Rebellion,rebellions by the Earl of Desmond / the head of the Fitzmaurice/FitzGerald Dynasty in Munster / and his followers / the Geraldines and their allies / against the threat of the extension of their South Welsh Tewdwr cousins and of Elizabethan English government,"English victory, famine throughout Plantation of Munster",government,Provinces of Munster and Leinster / Ireland,Munster / Ireland,British Empire,#,Q11030407,#,#,Q202156,Provinces of Ireland
1580,#,English Fury at Mechelen,Anglo-Dutch victory,Anglo-Dutch victory,international,Mechelen,Mechelen / Netherlands,British Empire / Spanish Netherlands,#,Q2780616,#,#,Q162022,Mechelen
1586,1586,Battle of Ardnaree,Tudor conquest of Ireland,English victory,colonial expansion / consolidation,near Ardnaree / County Mayo,near Ardnaree / County Mayo,British Empire,#,Q4870329,#,#,#,#
1586,1586,Riot,Riot on Rawcliffe Moor,#,context unclear,Rawcliffe Moor / England,Rawcliffe Moor / England,British Empire,Explore York Libraries & Archives CLY/3/1,#,#,#,#,#
1586,#,Raid on St. Augustine,#,#,context unclear,St. Augustine / Florida,St. Augustine / Florida,British Empire,#,Q15145506,#,#,Q487988,St. Augustine / Florida
1590,1590,Watts' West Indies and Virginia expedition,#,English victory / Expedition success,colonial expansion / consolidation,West Indies / Virginia,Between Hispaniola / Santiago colony (present-day Jamaica) / & Cuba,British Empire,#,#,#,#,#,#
1590,#,Watts' West Indies and Virginia expedition,#,English victory / Expedition success,international,West Indies / Virginia,Between Hispaniola / Santiago colony (present-day Jamaica) / & Cuba,British Empire,#,Q30324621,#,#,#,#
1590,#,Battle of Bayona Islands (Spanish fleet against Anglo-Dutch battle ships),#,#,context unclear,Bayona Islands / Spain,Cíes Islands / Spain,British Empire / Spanish Empire / Dutch Republic,#,Q19901912,#,#,#,#
1591,#,Siege of Knodsenburg,Dutch and English victory[1][2],Dutch and English victory[1][2],international,"Knodsenburg / Betuwe / near Nijmegen
(present-day the Netherlands)",Nijmegen / Netherlands,British Empire / Dutch Republic,#,Q13490083,#,#,Q1854766,#
1591,#,Capture of Delfzijl,Dutch & English victory,Dutch & English victory,international,Delfzijl / Netherlands,"Delfzijl
Present-day the Netherlands",British Empire / Dutch Republic,#,Q27628425,#,#,Q322986,Delfzijl / Netherlands
