TITLE WORD,WEIGHT,FIELD,CONNOTATION
use[s/d],95,development / movement,context
go / going / went / gone,73,development / movement,context
let,68,development / movement,context
sending / sent,61,development / movement,context
gain[ing/ed],45,development / movement,context
add[ed/ing],36,development / movement,neutral
set /setting,29,development / movement,context
sever,27,development / movement,context
sit(s) / sitting,27,development / movement,context
stand(ing/s),18,development / movement,context
event(s),14,development / movement,context
follow(ing/ed) / followeth,13,development / movement,context
raise(d) / raising,11,development / movement,context
raving,10,development / movement,context
works,9,development / movement,context
make(s),9,development / movement,context
death(s),9,development / movement,context
rise(n) / rising,8,development / movement,context
put(ting),8,development / movement,context
begin(s) / begun,7,development / movement,context
birth(s),7,development / movement,context
action,7,development / movement,neutral
pull(ing),6,development / movement,context
redress(ed)/(ing),6,development / movement,context
stop,6,development / movement,context
touching,6,development / movement,context
fait/e,6,development / movement,context
fast,6,development / movement,context
continuation / continue,6,development / movement,context
conversion,6,development / movement,context
far,5,development / movement,context
find / found,5,development / movement,context
enter(ed),5,development / movement,context
aim,5,development / movement,context
arrival / arrived,5,development / movement,context
boom,5,development / movement,context
pass(e)d / passing,5,development / movement,context
change(s),5,development / movement,context
reformation(s),4,development / movement,context
rendering,4,development / movement,context
return,4,development / movement,context
progress / progressen / etc.,4,development / movement,context
tending,4,development / movement,context
fall,4,development / movement,context
fell,4,development / movement,context
grow[ing] / growth,4,development / movement,context
come,4,development / movement,context
tode(sfall),4,development / movement,context
acted,4,development / movement,neutral
removal / removing,4,development / movement,context
prospect,3,development / movement,context
adventures,3,development / movement,context
besetting,3,development / movement,context
result/ing,3,development / movement,context
seated,3,development / movement,context
über(zu)gehen/übergang,3,development / movement,context
ursachen,3,development / movement,context
dare,3,development / movement,context
expedition(s),3,development / movement,context
establishing,3,development / movement,context
alteration(s),3,development / movement,context
do / done,3,development / movement,context
halten,3,development / movement,context
circuit,3,development / movement,context
brought,3,development / movement,context
born,3,development / movement,context
ruined/ ruines / ruins,3,development / movement,negative
caused,2,development / movement,context
provisions,2,development / movement,context
residing,2,development / movement,context
rides/ing,2,development / movement,context
seek,2,development / movement,context
manufacture,2,development / movement,context
extent,2,development / movement,context
worden,2,development / movement,context
move,2,development / movement,context
advance,2,development / movement,context
break / broke,2,development / movement,context
wade,2,development / movement,context
wiederbringung,2,development / movement,context
stirr(ed),2,development / movement,context
become,2,development / movement,context
circulat[ed / ing],2,development / movement,context
accompany / accompanied,2,development / movement,neutral
pursued,1,development / movement,context
cower,1,development / movement,context
ramble,1,development / movement,context
recline(s),1,development / movement,context
redivivus,1,development / movement,context
reducing,1,development / movement,context
remain,1,development / movement,context
remove,1,development / movement,context
retirer,1,development / movement,context
seafaring,1,development / movement,context
sendung,1,development / movement,context
settling,1,development / movement,context
spread,1,development / movement,context
stoppage,1,development / movement,context
surrounded,1,development / movement,context
tosses,1,development / movement,context
touche,1,development / movement,context
circonstances,1,development / movement,context
stack(s),1,development / movement,context
shock,1,development / movement,context
source,1,development / movement,context
composing,1,development / movement,context
explosion,1,development / movement,context
finden,1,development / movement,context
geblieben,1,development / movement,context
thrown,1,development / movement,context
towards,1,development / movement,context
transportation,1,development / movement,context
travels,1,development / movement,context
turn,1,development / movement,context
working,1,development / movement,context
zugenommen,1,development / movement,context
geburt,1,development / movement,context
driven,1,development / movement,context
effects,1,development / movement,context
commencement,1,development / movement,context
construction,1,development / movement,context
creating,1,development / movement,context
enlarging,1,development / movement,context
entstanden,1,development / movement,context
evade,1,development / movement,context
arising,1,development / movement,context
arrivées,1,development / movement,context
a(t)chievment,1,development / movement,context
aufgehalten,1,development / movement,context
ausgeführt,1,development / movement,context
broils,1,development / movement,context
decline,1,development / movement,context
glückswechsel,1,development / movement,context
journey,1,development / movement,context
verlauff,1,development / movement,context
vorgangen,1,development / movement,context
vorkommen,1,development / movement,context
walk,1,development / movement,context
wilts,1,development / movement,context
leave,1,development / movement,context
leaving,1,development / movement,context
beginnen,1,development / movement,context
marche,1,development / movement,context
landing,1,development / movement,context
lessen,1,development / movement,context
wanckende,1,development / movement,negative
stürtzfall,1,development / movement,negative
slackening,1,development / movement,negative
active,1,development / movement,neutral
accommodate,1,development / movement,neutral
entred,1,movement / development,context
erected,3,movement / development,context
strag(g)ling,2,development / movement,context
