WORD;WEIGHT;FIELD;CONNOTATION
proclamation(s) / proclaimed;162;information / communication;context
act(s);137;information / communication;neutral
order(s) / order(ing/ed);64;information / communication;context
letter(s);63;information / communication;context
parliament;57;location / institution;context
sing(ing);45;information / communication;context
offer(ing/ed);45;information / communication;context
print[ed/ing];44;information / communication;context
call[ing/ed];44;information / communication;context
reason(s);40;information / communication;context
lit;38;information / communication;context
tend/(e)ring;33;information / communication;context
lie;33;information / communication;context
vol[ume];30;information / communication;context
account(s);27;information / communication;neutral
cover;23;information / communication;context
command;23;information / communication;context
assemble(d);22;information / communication;context
say / said;22;information / communication;context
discover;22;information / communication;context
declaration;20;information / communication;context
trial;19;information / communication;context
protest / protestation;19;information / communication;context
address(es);18;information / communication;context
word(s);17;information / communication;context
publish(e)d;17;information / communication;context
containing;17;information / communication;context
discovering;17;information / communication;context
show / shew(ing / eth);16;information / communication;context
commit(ted) / commitment;16;information / communication;context
ode;16;information / communication;context
paper;16;information / communication;context
receive(d);15;information / communication;context
meet (met);15;information / communication;context
sermon(s);15;information / communication;context
report(s/ed/ing);14;information / communication;context
forbidding;13;information / communication;context
song(s);12;information / communication;context
write / written;12;information / communication;context
hand;12;information / communication;context
paper[s];12;information / communication;context
libel(s);12;information / communication;context
session(s);11;information / communication;context
article(s);11;information / communication;context
list;11;information / communication;context
secret;10;information / communication;context
see(ing);10;information / communication;context
title;10;information / communication;context
including;10;information / communication;context
state[s/d];10;information / communication;context
interest;10;information / communication;context
fec[it];10;information / communication;context
congress(us);10;information / communication;context
engraving(s);10;information / communication;context
pardon;10;information / communication;context
voice;10;information / communication;context
book(s);10;information / communication;context
intituled;10;information / communication;context
schreiben(s);9;information / communication;context
sign;9;information / communication;context
speech(es);9;information / communication;context
yes;9;information / communication;context
resolution(s);9;information / communication;context
fact;9;information / communication;context
information;9;information / communication;context
journal;9;information / communication;context
name;9;information / communication;context
petition;9;information / communication;context
correspondence;9;information / communication;context
answer / ansvvere;8;information / communication;context
hear / heard / hearers;8;information / communication;context
poem;8;information / communication;context
memorial;8;information / communication;context
thanks;7;information / communication;context
treaty;7;information / communication;context
authentic(k);7;quality / status / emotion;context
consideration;7;information / communication;context
observe(d) / observations;7;information / communication;context
view(s);7;information / communication;context
volumes;7;information / communication;context
copy;7;information / communication;context
remarks;6;information / communication;context
address(e)d;6;information / communication;context
pretend[ed/ing] / pretence;6;information / communication;context
ball;6;information / communication;context
intelligence;6;information / communication;context
narrative;6;information / communication;context
oath;6;information / communication;context
plot;6;information / communication;context
meeting;6;information / communication;context
thanksgiving;6;information / communication;context
accus(e)d;6;information / communication;negative
register(n);5;information / communication;context
trials;5;information / communication;context
tune;5;information / communication;context
proposal(s);5;information / communication;context
prose;5;information / communication;context
resolve(d);5;information / communication;context
plea;5;information / communication;context
prefix[e]d;5;information / communication;context
affaire(s);5;information / communication;context
autobiography;5;information / communication;context
ballad;5;information / communication;context
betr(effen);5;information / communication;context
command(ing/ed);5;information / communication;context
entitled;5;information / communication;context
examination;5;information / communication;context
news;5;information / communication;context
verse;5;information / communication;context
vote;5;information / communication;context
vow;5;information / communication;context
vox;5;information / communication;context
beschrieben;5;information / communication;context
lists;5;information / communication;context
style(d);4;information / communication;context
ratifying;4;information / communication;context
seal;4;information / communication;context
advertisements;4;information / communication;context
advice / advise(d);4;information / communication;context
publishing;4;information / communication;context
plan[ned];4;information / communication;context
presented;4;information / communication;context
think[ing] / thoughts;4;information / communication;context
essay;4;information / communication;context
appendix / appendices;4;information / communication;context
curious;4;information / communication;context
debates;4;information / communication;context
declare;4;information / communication;context
deposition;4;information / communication;context
drawn;4;information / communication;context
engage;4;information / communication;context
etching;4;information / communication;context
express;4;information / communication;context
extract;4;information / communication;context
introduce;4;information / communication;context
named;4;information / communication;context
names;4;information / communication;context
nom;4;information / communication;context
pamphlet;4;information / communication;context
wish;4;information / communication;context
orden;4;information / communication;context
know;4;information / communication;context
hymn(s);4;information / communication;context
accurate(ly);4;information / communication;positive
raisons;3;information / communication;context
records;3;information / communication;context
remonstrance(s);3;information / communication;context
reply;3;information / communication;context
revised;3;information / communication;context
shorthand;3;information / communication;context
stamp(s);3;information / communication;context
stated;3;information / communication;context
indictment(s);3;information / communication;context
compar(e)d;3;information / communication;context
theil/e;3;information / communication;context
index(es);3;information / communication;context
promising;3;information / communication;context
publié( e );3;information / communication;context
peint;3;information / communication;context
preface;3;information / communication;context
tracts;3;information / communication;context
transaction;3;information / communication;context
antwort;3;information / communication;context
behaviour;3;information / communication;context
conference(s);3;information / communication;context
declared;3;information / communication;context
denunced;3;information / communication;context
desire;3;information / communication;context
devised;3;information / communication;context
dialogue;3;information / communication;context
discourse;3;information / communication;context
distraction;3;information / communication;context
enclosing;3;information / communication;context
explaining;3;information / communication;context
facts;3;information / communication;context
greeting;3;information / communication;context
minutes;3;information / communication;context
newspapers;3;information / communication;context
note;3;information / communication;context
notice;3;information / communication;context
oaths;3;information / communication;context
painting;3;information / communication;context
parlaments;3;information / communication;context
parlement;3;information / communication;context
perform;3;information / communication;context
warning;3;information / communication;context
warrant(s);3;information / communication;context
call'd;3;information / communication;context
memory;3;information / communication;context
lettre;3;information / communication;context
receipt;2;information / communication;context
recommended / recommending;2;information / communication;context
regulations;2;information / communication;context
request;2;information / communication;context
requiring;2;information / communication;context
satire;2;information / communication;context
schweig;2;information / communication;context
scripture;2;information / communication;context
signed;2;information / communication;context
sound;2;information / communication;context
speak(ing) / spoke;2;information / communication;context
spectacle;2;information / communication;context
speculation;2;information / communication;context
sprache;2;information / communication;context
stating;2;information / communication;context
summary;2;information / communication;context
tableau;2;information / communication;context
übersetzet;2;information / communication;context
urged / urging;2;information / communication;context
strictures;2;information / communication;context
terms;2;information / communication;context
theatre;2;information / communication;context
illustrated / illustrations;2;information / communication;context
verses;2;information / communication;context
zeitungen;2;information / communication;context
praise;2;information / communication;context
prononcée;2;information / communication;context
friedensschlüße;2;information / communication;context
portrait;2;information / communication;context
prejudices;2;information / communication;context
translated;2;information / communication;context
treatise;2;information / communication;context
contains;2;information / communication;context
allegory;2;information / communication;context
appeal;2;information / communication;context
ausführlichen;2;information / communication;context
begebenheiten;2;information / communication;context
beruffung;2;information / communication;context
bewogen;2;information / communication;context
compendium;2;information / communication;context
compiled;2;information / communication;context
complaints;2;information / communication;context
confession;2;information / communication;context
conseil;2;information / communication;context
considered;2;information / communication;context
counsel;2;information / communication;context
cries;2;information / communication;context
curieusen;2;information / communication;context
declarations;2;information / communication;context
degree;2;information / communication;context
description;2;information / communication;context
determined;2;information / communication;context
discourses;2;information / communication;context
discoverd;2;information / communication;context
distributor;2;information / communication;context
drama;2;information / communication;context
encloses;2;information / communication;context
encouragement;2;information / communication;context
entituled;2;information / communication;context
example;2;information / communication;context
expressed;2;information / communication;context
false;2;information / communication;context
foment;2;information / communication;context
fragen;2;information / communication;context
glückwunsch;2;information / communication;context
gravé;2;information / communication;context
grievances;2;information / communication;context
instruction;2;information / communication;context
introduction;2;information / communication;context
konzept;2;information / communication;context
matters;2;information / communication;context
measures;2;information / communication;context
message;2;information / communication;context
museum;2;information / communication;context
musical;2;information / communication;context
nachricht;2;information / communication;context
nominated;2;information / communication;context
notes;2;information / communication;context
opera;2;information / communication;context
oraison;2;information / communication;context
paintings;2;information / communication;context
passages;2;information / communication;context
petitions;2;information / communication;context
picture;2;information / communication;context
pointing;2;information / communication;context
voted;2;information / communication;context
copia;2;information / communication;context
copie;2;information / communication;context
libri / librorum;2;information / communication;context
map;2;information / communication;context
memoirs;2;information / communication;context
memorials;2;information / communication;context
bildnis;2;information / communication;context
catalogue;2;information / communication;context
kopie;2;information / communication;context
language;2;information / communication;context
cited;2;information / communication;context
issued;2;information / communication;context
known;2;information / communication;context
kriegsgeschichte;2;information / communication;context
begreiffend;2;information / communication;context
bible;2;information / communication;context
unmask[e]d;2;information / communication;positive
conversing / conversation;2;information / communication;context
copey;2;information / communication;context
curious / curieuser / curiöse;2;information / communication;context
declar[ing] / déclaration;2;information / communication;context
discover[ed] / discovery;2;information / communication;context
écrite[s];2;information / communication;context
explain[ed];2;information / communication;context
extracted / extracts;2;information / communication;context
instructions / instruktion;2;information / communication;context
rendezvous;1;information / communication;context
menace;1;information / communication;context
profess;1;information / communication;context
versehen;1;information / communication;context
vindiciae;1;information / communication;context
queries;1;information / communication;context
question;1;information / communication;context
rally;1;information / communication;context
ratified;1;information / communication;context
ratifyd;1;information / communication;context
reading;1;information / communication;context
reasoning;1;information / communication;context
rechtfertigung;1;information / communication;context
recruitment;1;information / communication;context
reference;1;information / communication;context
reflecting;1;information / communication;context
refusing;1;information / communication;context
refuted;1;information / communication;context
remind;1;information / communication;context
repentance;1;information / communication;context
réponse;1;information / communication;context
reprinted;1;information / communication;context
research;1;information / communication;context
respose;1;information / communication;context
satirical;1;information / communication;context
satirizing;1;information / communication;context
sayings;1;information / communication;context
schemes;1;information / communication;context
schlusses;1;information / communication;context
sculpture;1;information / communication;context
seale;1;information / communication;context
signal;1;information / communication;context
spellings;1;information / communication;context
squeak;1;information / communication;context
staatsanmerckungen;1;information / communication;context
staatsgespräch;1;information / communication;context
staatsgriffe(n);1;information / communication;context
staatshistorie;1;information / communication;context
stanzas;1;information / communication;context
statement;1;information / communication;context
sujets;1;information / communication;context
summon;1;information / communication;context
surveys;1;information / communication;context
swear;1;information / communication;context
traced;1;information / communication;context
unterrichtet;1;information / communication;context
inauguration;1;information / communication;context
incidents;1;information / communication;context
judgement;1;information / communication;context
tryall;1;information / communication;context
übergesetzet;1;information / communication;context
